"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Similarity Match","No. Near Duplicates","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://sanatkaravani.com/tag/jean-rhys/","101","28","3,607","55,752","Fairly Hard","","","","","","tr","fbff37c7b783ecbf42db590b80afb43a","Indexable",""
"https://sanatkaravani.com/tag/emil-otto-hoppe/","104","26","4,000","38,456","Hard","","","","","","tr","6b30c1c67391e663c7a1c5d4ad70e409","Indexable",""
"https://sanatkaravani.com/hayata-tutunmaya-calisanlarin-sesi-ken-loach/","880","170","5,176","26,324","Very Hard","","","","","","tr","4092d1092691dc476912429c2242fd6","Indexable",""
"https://sanatkaravani.com/tag/dream-theather/","99","26","3,808","53,425","Fairly Hard","","","","","","tr","59aaf822b4c9d2ee5362fe9216a2a53a","Indexable",""
"https://sanatkaravani.com/tag/space-dye-vest/","99","26","3,808","53,425","Fairly Hard","","","","","","tr","27cd8f003c7c19e9768fbc30f00bfdb7","Indexable",""
"https://sanatkaravani.com/beni-olmak-acisiyla-yalniz-birak-sohrab-sepehri/","468","136","3,441","46,073","Hard","","","","","","tr","d79d8f64dd7fbd0542b6216e8f5e7887","Indexable",""
"https://sanatkaravani.com/tag/scenes-from-a-memory/","101","26","3,885","52,957","Fairly Hard","","","","","","tr","8f3437cb7cd32d80d3f7058e04e3edd5","Indexable",""
"https://sanatkaravani.com/tag/genis-genis-bir-deniz/","103","28","3,679","54,435","Fairly Hard","","","","","","tr","14f2d9051ec353b87ad033297d23b4b2","Indexable",""
"https://sanatkaravani.com/tag/cigdem-aslan/","101","27","3,741","34,676","Hard","","","","","","tr","808a331aaebf79194198f00998c1a855","Indexable",""
"https://sanatkaravani.com/tam-70-yil-oldu-yilan-hala-olmedi-yasar-kemal-yilani-oldurseler/","633","152","4,164","35,012","Hard","","","","","","tr","863fcd5812e4ab153076e8d03a1f9e","Indexable",""
"https://sanatkaravani.com/dunyanin-gunumuzdeki-en-unlu-20-lokasyonu/","1450","305","4,754","29,951","Very Hard","","","","","","tr","f84f1d32200420ab3df792bccd8aa7dd","Indexable",""
"https://sanatkaravani.com/tag/progresif-rock/","133","36","3,694","56,148","Fairly Hard","","","","","","tr","ddfbbe17c48aa09b1f9e869df21e0f93","Indexable",""
"https://sanatkaravani.com/izlemeye-doyamadigimiz-30-cnbc-e-dizisi/","597","187","3,193","63,161","Normal","","","","","","tr","d69009cecbd4dde05c1fe6cf272abf6e","Indexable",""
"https://sanatkaravani.com/category/liste/page/2/","439","104","4,221","48,382","Hard","","","","","","tr","89273e643916538ddfe8b744f4a69f0a","Indexable",""
"https://sanatkaravani.com/italyanin-az-bilinen-7-sahil-kasabasi/","1133","226","5,013","26,946","Very Hard","","","","","","tr","5a74e981def9e2cca81d9c3e3ce825f2","Indexable",""
"https://sanatkaravani.com/izlemeniz-gereken-10-bilim-kurgu-dizisi/","1106","242","4,570","29,172","Very Hard","","","","","","tr","c150b871113300a82a73e8d08969ba5a","Indexable",""
"https://sanatkaravani.com/tarihe-damga-vurmus-en-unlu-20-heykel/","1129","376","3,003","73,553","Fairly Easy","","","","","","tr","fbe9a1471849208f397425c50cdc711e","Indexable",""
"https://sanatkaravani.com/tum-zamanlarin-en-unlu-20-ressami-ve-populer-tablolari/","890","252","3,532","79,107","Fairly Easy","","","","","","tr","7b33123503b3784fc62de9329d751bfe","Indexable",""
"https://sanatkaravani.com/gecmisten-gunumuze-efsanevi-yonetmenler-ve-filmleri/","1538","441","3,488","51,092","Fairly Hard","","","","","","tr","adc4727f96135bc5c57d739e33572c5e","Indexable",""
"https://sanatkaravani.com/category/liste/page/3/","208","51","4,078","59,119","Fairly Hard","","","","","","tr","fd2a5b841c3cd96d01c1ffa134afeebd","Indexable",""
"https://sanatkaravani.com/tag/papa-emeritus/","99","26","3,808","51,716","Fairly Hard","","","","","","tr","c3ceec4cdc606a9d622505a2649117bd","Indexable",""
"https://sanatkaravani.com/tag/ghost-band/","99","26","3,808","55,134","Fairly Hard","","","","","","tr","140607eb8ae45c47984b07e3b7d01090","Indexable",""
"https://sanatkaravani.com/evreni-anlamaniza-yardimci-olacak-25-populer-bilim-kitabi/","2328","432","5,389","25,479","Very Hard","","","","","","tr","c1ffe5422ff00f226c9de87ec72199a6","Indexable",""
"https://sanatkaravani.com/tag/mimar-sinan/","100","27","3,704","45,720","Hard","","","","","","tr","2fb1767ec6ee1e761f3690d7d17a95dd","Indexable",""
"https://sanatkaravani.com/tag/istanbul/","99","27","3,667","45,022","Hard","","","","","","tr","7ea609257cc4377dbea514061b847ea4","Indexable",""
"https://sanatkaravani.com/category/bilim/","441","109","4,046","45,039","Hard","","","","","","tr","acd9e96c3bda56c0a7fa17f85d825c1c","Indexable",""
"https://sanatkaravani.com/author/janberkatici/","191","62","3,081","64,628","Normal","","","","","","tr","7dff52c88561deed1a77d15ec6f7395b","Indexable",""
"https://sanatkaravani.com/author/safakgulpinar/","164","49","3,347","58,483","Fairly Hard","","","","","","tr","cc35904b6949a048f952c87212a14a87","Indexable",""
"https://sanatkaravani.com/author/alikaptan/","80","21","3,810","31,653","Hard","","","","","","tr","c88d72d858e4e0e9f674a3ff0ae85e2a","Non-Indexable","noindex"
"https://sanatkaravani.com/author/pinardemir/","95","26","3,654","51,737","Fairly Hard","","","","","","tr","9b7d26b78bdbf1c9990b111c279e08a7","Indexable",""
"https://sanatkaravani.com/author/soykankomurcu/","77","21","3,667","36,111","Hard","","","","","","tr","368bb2373d8245c2101e5f7a3576c394","Non-Indexable","noindex"
"https://sanatkaravani.com/author/aslihanyildiz/","285","84","3,393","61,204","Normal","","","","","","tr","4a46fadfda1b016d740de95169d37e7f","Indexable",""
"https://sanatkaravani.com/var-olmak-dayanilmaz-bir-agirliktir-kefernahum/","981","188","5,218","32,252","Hard","","","","","","tr","2f824694423e6ef3dfed3012a28dc32e","Indexable",""
"https://sanatkaravani.com/author/haticeuzunoglu/","158","46","3,435","53,425","Fairly Hard","","","","","","tr","ac027857e87b546659235ef84e7ea6c4","Indexable",""
"https://sanatkaravani.com/ulasilamayacak-bir-hayalin-pesinden-kosmak-david-lynch/","914","200","4,570","28,276","Very Hard","","","","","","tr","6dab4fd90cb2fcbcca33a55d739ebae1","Indexable",""
