"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://sanatkaravani.com/category/sinema/page/2/","1","Sinema","6","Indexable",""
"https://sanatkaravani.com/category/fotograf/page/2/","1","Fotoğraf","8","Indexable",""
"https://sanatkaravani.com/category/sinema/page/5/","1","Sinema","6","Indexable",""
"https://sanatkaravani.com/iyi-fotograflar-hayatin-ozunden-bir-seyler-anlatir-bert-hardy/","1","İyi Fotoğraflar Hayatın Özünden Bir Şeyler Anlatır / Bert Hardy","63","Indexable",""
"https://sanatkaravani.com/bir-kadinin-huznunu-resme-sigdirmak-bakmak-ve-gormek-arasinda-ramon-casas/","1","Bir Kadının Hüznünü Resme Sığdırmak–Bakmak ve Görmek Arasında /Ramon Casas","74","Indexable",""
"https://sanatkaravani.com/category/fotograf/page/3/","1","Fotoğraf","8","Indexable",""
"https://sanatkaravani.com/category/resim/page/2/","1","Resim","5","Indexable",""
"https://sanatkaravani.com/alexandre-cabanel-ve-dusen-bir-melegi-anlamak/","1","Alexandre Cabanel ve Düşen Bir Meleği Anlamak","45","Indexable",""
"https://sanatkaravani.com/unlu-ressamlarin-eserlerini-kolay-anlama-kilavuzu-ii/","1","Ünlü Ressamların Eserlerini Kolay Anlama Kılavuzu II","52","Indexable",""
"https://sanatkaravani.com/unlu-ressamlarin-eserlerini-kolay-anlama-kilavuzu-i/","1","Ünlü Ressamların Eserlerini Kolay Anlama Kılavuzu I","51","Indexable",""
"https://sanatkaravani.com/cagdas-turk-resim-tarihi-gelisimi-ressamlar-ve-eserleri/","1","Çağdaş Türk Resim Tarihi: Gelişimi, Ressamlar ve Eserleri","57","Indexable",""
"https://sanatkaravani.com/pistoletto-ve-yoksul-sanat/","1","Pistoletto ve Yoksul Sanat","26","Indexable",""
"https://sanatkaravani.com/oglunu-oldurmek-ilya-repin/","1","Oğlunu Öldürmek / İlya Repin","28","Indexable",""
"https://sanatkaravani.com/category/resim/page/5/","1","Resim","5","Indexable",""
"https://sanatkaravani.com/category/resim/page/3/","1","Resim","5","Indexable",""
