"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://sanatkaravani.com/wp-content/uploads/2021/07/manset-gorseli-20x16.jpg","image/jpeg","693","8","Indexable","",""
"https://sanatkaravani.com/wp-content/uploads/2021/07/unnamed-21-3-20x11.jpg","image/jpeg","681","7","Indexable","",""
"https://sanatkaravani.com/wp-content/uploads/2021/07/unnamed-3-9-20x15.jpg","image/jpeg","624","6","Indexable","",""
"https://sanatkaravani.com/wp-content/uploads/2021/07/Shigir-Idol-339718-shigir-idolu-sanat-karavani-20x20.jpg","image/jpeg","758","7","Indexable","",""
"https://sanatkaravani.com/wp-content/uploads/2021/08/budapest-18-1-20x13.jpg","image/jpeg","847","8","Indexable","",""
"https://sanatkaravani.com/wp-content/uploads/2021/07/unnamed-50-1-20x11.jpg","image/jpeg","697","6","Indexable","",""
"https://sanatkaravani.com/wp-content/uploads/2021/07/unnamed-2-1-20x11.jpg","image/jpeg","691","6","Indexable","",""
"https://sanatkaravani.com/wp-content/uploads/2021/07/image4-20x13.jpg","image/jpeg","696","5","Indexable","",""
"https://sanatkaravani.com/wp-content/uploads/2021/10/CoUBy0If5yX19pneRxKs3tmEI8uqd1gx-20x13.jpg","image/jpeg","688","1","Indexable","",""
"https://sanatkaravani.com/wp-content/uploads/2021/10/eQfRHnXeDloFAk9qLowncIiGaw1Ka6ie-20x20.jpg","image/jpeg","792","1","Indexable","",""
"https://sanatkaravani.com/wp-content/uploads/2021/10/Lq3PaQMOrM9Cm1qr8ZNceGs30oaM2kaW-20x20.jpg","image/jpeg","765","2","Indexable","",""
"https://sanatkaravani.com/wp-content/uploads/2021/10/hptGofuCCjCEkXsEDIveb9XXwYerBIh2-20x19.jpg","image/jpeg","785","1","Indexable","",""
"https://sanatkaravani.com/wp-content/uploads/2021/10/0C2VEIHgAgja4dgiNndhp1Xa2uXxwK9J-20x19.jpg","image/jpeg","797","1","Indexable","",""
"https://sanatkaravani.com/wp-content/uploads/2021/10/zqVq3a4ltfgHZ9w1BknXhB9HdTWTJv6F-20x13.jpg","image/jpeg","670","1","Indexable","",""
"https://sanatkaravani.com/wp-content/uploads/2021/10/rDvUPoijTG0bRYECyUkbXgJ99X7wdGox-20x13.jpg","image/jpeg","609","1","Indexable","",""
"https://sanatkaravani.com/wp-content/uploads/2021/10/eQfRHnXeDloFAk9qLowncIiGaw1Ka6ie-20x13.jpg","image/jpeg","706","1","Indexable","",""
"https://sanatkaravani.com/wp-content/uploads/2021/10/5vyjB8vK5p2uhNS0aWMvwGZOuxv72XWM-20x19.jpg","image/jpeg","701","1","Indexable","",""
"https://sanatkaravani.com/wp-content/uploads/2021/11/mw80225-1-20x20.jpg","image/jpeg","759","1","Indexable","",""
"https://sanatkaravani.com/wp-content/uploads/2021/10/Lq3PaQMOrM9Cm1qr8ZNceGs30oaM2kaW-20x19.jpg","image/jpeg","760","1","Indexable","",""
"https://sanatkaravani.com/wp-content/uploads/2021/10/CtDzEyTxd0ON5E60sh86PaFh9q3d2lc8-20x19.jpg","image/jpeg","758","1","Indexable","",""
"https://sanatkaravani.com/wp-content/uploads/2021/10/1gk93ngq6PmVuTk2B4dDLTDY19hJCTsn-20x13.jpg","image/jpeg","703","1","Indexable","",""
